  3.986004415   6378137.00
 name Doodson            C10+            C10-            C11+            C11-            S11+            S11-
   K1 165.555  0.65903198E-07 -0.23618735E-06  0.15240517E-06  0.54510351E-07  0.57951321E-07  0.91115166E-07
   K2 275.555  0.58820344E-08  0.78223673E-09  0.82634785E-08  0.17098158E-07  0.28274727E-08  0.95641986E-09
   M2 255.555  0.64086749E-07  0.33741274E-07  0.82092113E-07  0.76976307E-08 -0.39331272E-07  0.74234937E-07
   Mf  75.555  0.23994538E-07  0.23160661E-08  0.14961765E-07 -0.19050356E-07  0.57231952E-08 -0.38155669E-08
   N2 245.655  0.16604395E-07  0.24692742E-08  0.10060051E-07  0.75631673E-09 -0.49125733E-09  0.20845840E-07
   O1 145.555  0.23239277E-07 -0.16830188E-06  0.86481239E-07  0.11802879E-07  0.58555768E-07  0.34726677E-07
   P1 163.555  0.16600812E-07 -0.74602430E-07  0.48235157E-07  0.14146460E-07  0.16888410E-07  0.27904988E-07
   Q1 135.655  0.40244812E-08 -0.29117940E-07  0.15908436E-07  0.77164577E-09  0.12770867E-07  0.14909422E-08
   S2 273.555  0.22430236E-07  0.94564697E-08  0.30377828E-07  0.49157638E-07 -0.61338730E-08  0.76805145E-08
   Sa  56.554  0.21793187E-09  0.12972260E-09  0.71714382E-10  0.49927099E-10 -0.42733149E-10 -0.53422994E-10
  Msf  73.555  0.52032006E-09  0.12958178E-08  0.20898774E-09  0.69234415E-09  0.16108594E-08  0.36734674E-09
